name_ar,name_en,latitude,longitude
محطة المشير طنطاوى,Field Marshal Tantawi,,
محطة كايرو فستيفال سيتى,Cairo Festival City,,
محطة أكاديمية الشرطة,Police Academy,,
محطة طريق السويس,Suez Road,,
محطة عدلي منصور,Adly Mansour,"30.14832798176368, 31.42005354153714",1
محطة موقف العاشر من رمضان,10th of Ramadan,,
محطة غرب الرشاح,West Rashah,,
محطة التروللي,Trolley,,
محطة مؤسسة الزكاة,Zakat Foundation,"30.165945006594868, 31.38269627787763",
محطة مصرف بلبيس,Belbeis Canal,,
محطة متولي الشعراوي,Metwally El Shaarawi,,
محطة أحمد عرابي,Ahmed Orabi,,
محطة عزبة الجزيرة,Ezbet El Gezira,,
محطة العصار,Al Assar,,
محطة أرض اللواء,Ard El Lewa,,
محطة المرج,El Marg,"30.16370428243956, 31.341340330755855",
محطة منطي,Manti,,
محطة محور 26 يوليو,26 July Corridor,,
محطة رشاح والخصوص,Rashah Khosos,,
محطة إسكندرية الزراعي,Alexandria Agricultural Road,,
محطة المعتمدية,Al Mutamadiyah,,
محطة مسطرد,Mostorod,,
محطة بسوس,Bsous,,
محطة زنين,Zenin,,
محطة البحر الأعظم,Bahr Al Aazam,,
محطة بسوس القناطر,Bsous Qanater,,
محطة صفط اللبن,Saft El Laban,,
محطة الزهراء,Al Zahraa,,
محطة الوراق,Al Warraq,,
محطة منشية البكاري,Mansheyet Al Bakari,,
محطة العزبة,Al Ezba,,
محطة تحيا مصر,Tahya Misr,,
محطة النور,Al Nour,,
محطة محور الحضارة,Hadara Axis,,
محطة مترو إمبابة,Imbaba Metro,,
محطة مسجد المدينة,Al Madina Mosque,,
محطة الجزائر,Al Gazayer,,
محطة بشتيل,Bashtil,,
محطة فيصل,Faisal,,
محطة الأوتوستراد,Autostrad,,
محطة الطالبية,Talabiya,,
محطة الهرم,Al Haram,,
محطة الهضبة الوسطى,Hadaba Wusta,,
محطة المنيب,Al Munib,,
محطة ترسا,Tersa,,
محطة سيتي سنتر المعادي,Maadi City Center,,
محطة الطالبية,Talabiya,,
محطة مصر للطيران,EgyptAir,,
محطة الصيد,Al Seid,,
محطة البروان,Al Barwan,,
محطة محور الشهيد,Shaheed Axis,,
محطة القلج,,"30.16562986774509, 31.35813715278245",
